iter	Passed	Remaining
787	100003	26904
788	100109	26771
789	100218	26640
790	100352	26515
791	100504	26395
792	100615	26264
793	100709	26128
794	100839	26002
795	100969	25876
796	101084	25746
797	101195	25615
798	101300	25483
799	101420	25355
800	101533	25224
801	101672	25101
802	101796	24973
803	101901	24841
804	102015	24711
805	102135	24583
806	102233	24449
807	102344	24319
808	102467	24191
809	102578	24061
810	102679	23929
811	102793	23799
812	102901	23668
813	103017	23539
814	103135	23411
815	103254	23282
816	103362	23152
817	103487	23025
818	103621	22900
819	103725	22768
820	103838	22639
821	103957	22511
822	104082	22384
823	104175	22251
824	104284	22120
825	104389	21989
826	104486	21857
827	104588	21726
828	104711	21599
829	104812	21467
830	104935	21340
831	105056	21213
832	105157	21082
833	105253	20949
834	105370	20821
835	105481	20692
836	105630	20570
837	105766	20446
838	105883	20318
839	106005	20191
840	106097	20058
841	106209	19929
842	106330	19802
843	106432	19672
844	106547	19544
845	106656	19415
846	106794	19291
847	106898	19161
848	107013	19032
849	107126	18904
850	107240	18776
851	107363	18650
852	107477	18521
853	107593	18394
854	107704	18265
855	107814	18137
856	107917	18007
857	108007	17875
858	108128	17748
859	108246	17621
860	108361	17493
861	108474	17365
862	108583	17237
863	108688	17108
864	108788	16978
865	108904	16851
866	109002	16721
867	109098	16591
868	109221	16464
869	109335	16337
870	109440	16208
871	109561	16082
872	109670	15954
873	109795	15828
874	109916	15702
875	110034	15575
876	110176	15452
877	110289	15324
878	110417	15199
879	110550	15075
880	110679	14949
881	110824	14826
882	110970	14703
883	111087	14577
884	111200	14449
885	111319	14323
886	111459	14199
887	111605	14076
888	111762	13954
889	111895	13829
890	112014	13703
891	112179	13582
892	112307	13456
893	112434	13331
894	112542	13203
895	112734	13085
896	112849	12958
897	112987	12833
898	113119	12708
899	113243	12582
900	113377	12457
901	113504	12331
902	113653	12208
903	113771	12081
904	113870	11953
905	113978	11825
906	114097	11699
907	114202	11571
908	114301	11442
909	114416	11315
910	114517	11187
911	114621	11059
912	114734	10933
913	114832	10804
914	114934	10677
915	115045	10550
916	115153	10422
917	115257	10295
918	115369	10168
919	115452	10039
920	115557	9912
921	115642	9783
922	115756	9656
923	115837	9527
924	115942	9400
925	116036	9272
926	116135	9145
927	116210	9016
928	116309	8889
929	116406	8761
930	116508	8634
931	116600	8507
932	116696	8380
933	116795	8253
934	116900	8126
935	116993	7999
936	117100	7873
937	117214	7747
938	117324	7621
939	117433	7495
940	117556	7370
941	117679	7245
942	117783	7119
943	117908	6994
944	118013	6868
945	118124	6742
946	118235	6617
947	118337	6491
948	118473	6366
949	118608	6242
950	118742	6118
951	118852	5992
952	118989	5868
953	119096	5742
954	119254	5619
955	119394	5495
956	119505	5369
957	119654	5245
958	119789	5121
959	119890	4995
960	120072	4872
961	120213	4748
962	120353	4624
963	120479	4499
964	120612	4374
965	120730	4249
966	120853	4124
967	121116	4003
968	121253	3879
969	121371	3753
970	121477	3628
971	121587	3502
972	121700	3377
973	121807	3251
974	121921	3126
975	122043	3001
976	122145	2875
977	122287	2750
978	122417	2625
979	122543	2500
980	122659	2375
981	122768	2250
982	122895	2125
983	123005	2000
984	123106	1874
985	123218	1749
986	123334	1624
987	123450	1499
988	123562	1374
989	123715	1249
990	123843	1124
991	123986	999
992	124126	875
993	124244	749
994	124366	624
995	124496	499
996	124652	375
997	124786	250
998	124888	125
999	125021	0
